Kontext,Conversational Move,Topic,Count,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 11,Antwort 12,Antwort 13,Antwort 14,Antwort 15,Antwort 16,Antwort 17,Antwort 18,Antwort 19,Antwort 20,Antwort 21,Antwort 22
LK_Default,CM_CatchAll,#Forschung,1,Über die Forschung kann ich Ihnen leider nicht viel erzählen. Miss Shackleton kann ihnen jedoch garantiert weiterhelfen.,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Foto,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Friedhof,1,Wir haben etwas außerhalb des Camps einen Friedhof für Edgeworth und Veltman errichtet. ,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Höhle,1,Veltman und Edgeworth haben in der Höhle an einem unbekannten Gestein geforscht.,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Kairosit,1,"Ich verstehe nicht viel davon. Ich kümmere mich um die Crew. Frau Shackleton dürfte Ihnen aber mehr darüber verraten können. Sie, Doktor Veltman und Mister Edgeworth haben sich mit diesem Gestein beschäftigt.",,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Kiste,1,"Veltman bewahrt in dieser Schatulle etwas auf, dass für ihn von großem persönlichen Wert war. ",,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Lager,1,Hier haben wir die letzten Monate gelebt und gearbeitet.,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Lawrence_Wilson,1,Ich bin Lawrence Wilson. Ich bin Arzt.,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Maschine,1,Mit der elektrischen Maschine haben Veltman und Edgeworth Tests an dem unbekannten Gestein durchgeführt.,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Person,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Reise,1,Am Tag der Hinreise habe ich erst die Crew kennengelernt. Edgar kannte ich bereits von früher. Er hat mich überhaupt erst überredet hier mit zu machen.. Seit wir hier angekommen sind habe ich mir gewünscht ich hätte doch lieber abgelehnt. ,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Rückreise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Schiff,1,"Wenn sie etwas zur Foresight wissen möchten, fragen Sie Edgar, ihren Kapitän.",,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Südpol,2,Ich wünschte ich wäre nicht hier her gekommen.,"Ich habe nicht viel für diesen Ort übrig.. Wissen sie, wenn Menschen zu lange an einem Ort wie diesem isoliert sind, kommt eine merkwürdige Seite an ihnen zum Vorschein.",,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Vorräte,1,"Als sich unsere Rückreise aufgrund seiner unbeendeten Forschung auf unbestimmte Zeit nach hinten schob, kamen die ersten Sorgen über unsere Vorräte auf. Menschen tun schlimme Dinge wenn sie hungrig sind.",,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Adelaide_Shackleton,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Alexander_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Amelie_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Arbeit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Kairosit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Brandspuren,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Crew,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#David_Edgeworth,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Dialogpartner,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Edgar_Evans,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Elektronenröhre,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Forschung,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Foto,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Friedhof,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Höhle,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Kiste,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Lager,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Lawrence_Wilson,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Maschine,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Person,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Reise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Reparatur,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Rückreise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Schiff,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Südpol,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#Vorräte,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_InvestigateOnTopic,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Adelaide_Shackleton,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Alexander_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Amelie_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Arbeit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Kairosit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Brandspuren,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Crew,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#David_Edgeworth,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Dialogpartner,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Edgar_Evans,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Elektronenröhre,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Forschung,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Foto,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Friedhof,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Höhle,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Kiste,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Lager,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Lawrence_Wilson,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Maschine,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Person,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Reise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Reparatur,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Rückreise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Schiff,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Südpol,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#Vorräte,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskLocationOfTopic,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Adelaide_Shackleton,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Alexander_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Amelie_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Arbeit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Kairosit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Brandspuren,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Crew,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#David_Edgeworth,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Dialogpartner,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Edgar_Evans,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Elektronenröhre,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Forschung,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Foto,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Friedhof,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Höhle,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Kiste,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Lager,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Lawrence_Wilson,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Maschine,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Person,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Reise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Reparatur,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Rückreise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Schiff,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Südpol,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#Vorräte,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskMethodOnTopic,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Adelaide_Shackleton,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Alexander_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Amelie_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Arbeit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Kairosit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Brandspuren,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Crew,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#David_Edgeworth,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Dialogpartner,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Edgar_Evans,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Elektronenröhre,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Forschung,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Foto,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Friedhof,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Höhle,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Kiste,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Lager,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Lawrence_Wilson,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Maschine,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Person,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Reise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Reparatur,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Rückreise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Schiff,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Südpol,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#Vorräte,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskOpinionOnTopic,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Adelaide_Shackleton,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Alexander_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Amelie_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Arbeit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Kairosit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Brandspuren,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Crew,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#David_Edgeworth,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Dialogpartner,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Edgar_Evans,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Elektronenröhre,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Forschung,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Foto,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Friedhof,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Höhle,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Kiste,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Lager,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Lawrence_Wilson,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Maschine,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Person,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Reise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Reparatur,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Rückreise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Schiff,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Südpol,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#Vorräte,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskReasonOnTopic,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Adelaide_Shackleton,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Alexander_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Amelie_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Arbeit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Kairosit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Brandspuren,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Crew,2,"Wir haben fast den Mut verloren, nachdem wir Mister Edgeworth und Doktor Veltman verloren haben und dann ist auch noch die Foresight fahruntüchtig.  Es ist ein Wunder, dass Sie uns rechtzeitig erreicht haben.",Die Moral hat sich deutlich verbessert seit Sie hier sind. Unser überleben ist gesichert.,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#David_Edgeworth,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Dialogpartner,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Edgar_Evans,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Elektronenröhre,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Forschung,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Foto,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Friedhof,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Höhle,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Kiste,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Lager,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Lawrence_Wilson,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Maschine,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Person,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Reise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Reparatur,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Rückreise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Schiff,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Südpol,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#Vorräte,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskStateOfTopic,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Adelaide_Shackleton,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Alexander_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Amelie_Veltman,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Arbeit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Kairosit,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Brandspuren,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Crew,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#David_Edgeworth,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Dialogpartner,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Edgar_Evans,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Elektronenröhre,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Forschung,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Foto,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Friedhof,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Höhle,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Kiste,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Lager,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Lawrence_Wilson,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Maschine,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Person,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Reise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Reparatur,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Rückreise,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Schiff,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Südpol,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_AskTimeOnTopic,#Vorräte,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LK_Default,SCM_Appologize,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
LK_Default,SCM_Goodbye,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
LK_Default,SCM_Greet,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
LK_Default,SCM_IntroduceSelf,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
LK_Default,SCM_Oppose,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
LK_Default,SCM_Agree,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
LK_Default,SCM_Disagree,#NO_TOPIC,0,,,,,,,,,,,,,,,,,,,
